full_text,sentimen
Mau tanya gimana jika baterai nya rusak apa ganti baterai apa kendaraan nya,Netral
Salam dari kalimantan. Gimana kalau kami  yg petani sawit ni. Mampu ndak mobil listrik narik sawit kami dari jalan lumpur,Netral
Wih hyundai favorit saya keren korea selatan mantaf,Positif
Usaha n perjuangan presiden kita ga sia2 walau teror datang dari mana2 baik dari luar maupun dari dalam negri.,Positif
Step by step menuju kearah yang lebih maju ??,Positif
Saya setuju bpk presiden dan saya selalu mendukung cita cita kita bersama agar indonesia maju dan sukses srlamanya hidup indonesia,Positif
Masalahnya battrenya yg mahal,Netral
Ini gara gara presiden stop nikel dll keluar negeri...indonesia jd maju,Positif
"semoga aja bener bener berhasil dan akan menciptakan lapangan pekerjaan Dimasa depan, termasuk saya yang sekarang masih kuliah sangat berharap setelah lulus nanti, kami tidak kesulitan mencari pekerjaan untuk membiayai hidup diri sendiri/keluarga",Positif
Untuk apa kalau jalanan. Macet total.. Seharusnya kendaraan masuk. Sumatra sulawesi dan kalimantan tidak untuk jakarta dan sekitarnya. Bisa pada setresss... Sekarang. Peraturan sudah di jadikan mencari uang. Bukan berarti bagus. Keadaan sudah bertambah sulit mencari nafkah. Malah bikin masalah baru,Negatif
"Infrastruktur jalan di perbaiki dulu,,, jalan masih banyak jebakan lobang mau di ganti motor listrik,,,,, baru 7 bulan dah bobrok mesinya,, harus juga tau  seberapa besar  muatan  orang indo di pedesaan min 1kwntl muatan, klo ga kuat ya auto mangkrak",Negatif
Trus pembangkit yg berbasis batu bara apa kabar?? Pernah liat limbah udaranya gak?? Coba deh tengok diri sendiri baru ngatur hidup rakyatnya ????,Negatif
Apa kabar mobil listrik SELO yang asli buatan anak negri,Netral
"Pantesan solar dan bensin di persulit dan di naikan, masyarakat di arahkn ke mobil listrik",Netral
Hasil di dalam negeri tapi harganya mencekik,Negatif
Kalau banyak batry buat apa kalau harga mobil nya Selangit..<br>Siapa mau beli?  Cuma org yg mampu hanya org2 betul2 kaya ..,Negatif
Semoga Pemerintah Indonesia bisa menyaring perusahaan mobil listrik yang kompeten dan bisa menjadikan masuknya mereka keuntungan pajak buat negara juga kesejahteraan para pekerja indonesia di bidang tersebut tolong kaji salary yang relevan agar terjadi kerjasama yang menguntungkan tidak keuntungan buat perusahaan asing saja jika semua itu telah berjalan,Positif
Korea sudah mulai lama . Indonesia baru berita2 terus . Dari tahun lalu ??,Netral
"Mudah mudahan bukan cuma buat ancaman negara produsen mobil berbahan bakar BBM dan negara penghasil minyak untuk menggelontorkan dana, klo udah cair tiba2 krisis dan mangkrak seperti jaman Dahlan Iskan hehehe",Negatif
Terbaik negaraku<br>Maju jayala negriku tercinta insyaallah rakyat makmur sejahtera Aamiin,Positif
Karena nikel di Indonesia banyak.. Siap siap alam Indonesia tercemar karena buat bahan baterai mobil listrik nya itu wah merusakkk sekali.,Negatif
"Niat baik tp kenyataan nya berbeda d lapangan, tempat pengisian nya jarang tempat servis& bengkel nya susah, harusnya itu dl yg d siap kan baru menjualnya,",Netral
Kalau produsen mobil listrik dunia masuk indonesia lalu kapan indonesia bisa memproduksi mibil listrik,Netral
Menurut saya indonesia harus bisa nembuat mobil listrik sendiri jangan  hanya bisa mendatangkan produsen mobil listrik dari luar,Positif
"Terima kasih pak presiden. Sudah menunjukan taring Indonesia di dunia.  <br><br>Ini pemaparannya keren si, Mudah2an dapat terealisasi. Cmn kadang ngliat di lapangan ketika kita menggaungkan mobil listrik eh muncul lah pom bensin pom bensin asing yang baru buka. Ini yang pom bensin bbm gak di rem aja pertumbuhannya ? Supaya sejalan dengan penggunaan motor atau mobil listrik",Positif
"Ditempat Gua perusahaan sudah menggunakan bus-bus listrik untuk angkutan karyawan, ternyata memang sangat efisien.",Positif
kalo ngecas mobilnya pake listrik batu bara dll(ya gak beda beda amat),Netral
"Saat mobil listrik karya anak bangsa yang tidak kunjung lolos uji emisi, dan karyanya sudah hilang ditelan masa<br>Kini muncullah mobil2 dr negara tetangga yang siap membanjiri",Positif
"Sangat bagus semua rencana pakdhe Jokowi untuk kemajuan negara dan bangsa ......<br>Nah, ada satu pertanyaan yg jadi pikiran kita, bagaimana klo nikel kita habis ?",Netral
Kalau semua pakai listrik maka harus punya ketahanan  listrik ..<br>artinya  kita  punya tehnologi listrik<br>Modal  sendiri  di kelola sendiri...<br>Bayangkan  listrik di kuasai  bngsa lain  di sabotase  kita ga  berkutik<br>Biaya listrik naik  ujungnya subsidi<br>Negara juga...mdah2an ga  begitu ya.....,Netral
"Wajar lah masuk Indonesia lah wong bahan bakunya nikel ada di Indonesia, sebelum Jokowi nikel mentah di angkut oleh Eropa dan Amerika",Negatif
Pokonya semuah jual barang yang udah jadi agar untung besar dan Indonesia psti jadi negara maju segala bidang,Positif
"BERITA INI PENTING UNTUK ORG YG BERDUIT<br>TAPI UNTUK YG TIDAK PUNYA DUIT BERITA INI KURANG PENTING, KRNA LEBIH PENTING GMNA CARANYA BERTAHAN HIDUP DI MASA PERALIHAN",Negatif
Mantap BAYAR LISTRIK PASTI SEMAKIN MAHAL ..<br><br>TOKEN LISTRIK PASTI BARU 3 HARI AUTO BUNYI,Negatif
Lanjut terus hilirisasi Nikel drmi kemajuan Bangsa dan Negara yg mandiri terma kasih utk Bpk Jokowi beserta kabinetnya  merdeka,Positif
Langkah terbaik utk Indonesia produksi kendaraan bertenaga listrik sbb energi ini amat sangat ramah lingkungan dan sumber bahannya ada di Indonesia dan ini investasi terbesar utk kemajuan Negara,Positif
"Mobil listrik ramah lingkungan... <br><br>Mari kita pikirkan ulang, darimana PLN memperoleh listrik? <br>Jika prosentase produsen listrik Indo dari PLTU yang mendominasi, maka polusi akan lebih parah.",Negatif
Kebijakan presiden jokowi emg keren.jgn support bhn mentah nikel tpi kita akan boleh nikel dgn menjadi batre.mantap ??,Positif
"Indonesia jgn terus dibodohi  mereka , hrs bisa bangkit bikin pabrik pengelola sendiri ??",Negatif
"tambahan, bagusnya tuh fokus buat di eksport aja mobil listriknya.<br>masyarakat di indonesia (bukan hanya di jawa) gak butuh amat mobil listrik ataupun mobil murah.<br><br>dampak negatifnya terlalu komplit!,<br>di kota besar pasti tambah bikin macet,<br>klo di kota kecil juga pasti akses charging juga sulit.<br><br>bikin pabrik luar masuk ke indo itu sudah bagus,<br>gak usah dengerin para pekerja pemalas, itu semua ada penggeraknya!.<br>entar giliran perusahan lebih memilih TKA, demo lagi. cuihh mental keroyokan! dipanggil HRD kicep!.",Positif
"Dua tahun lg itu waktu yg terlalu singkat untuk perubahan besar,semoga rakyat bisa memilih pemimpin negara dng tepat agar program2 yg dibangun Jokowi tak akan dirusak pasca beliau.Ingat,apa yg dialami oleh perubahan di Pemda DKI. <br>HATI-HATI...",Positif
Jangan lupa mobil listrik buatan asli indonesia juga harus ada.,Positif
Ingat ya cari pemimpin berikutnya yg melanjutkan bukan mau perubahan,Positif
"Semoga ngga hanya merk mobil listrik luar yg produksi di Indonesia. <br>Kendaraan listrik buatan lokal harus segera direncanakan dan diwujudkan utk bersaing di pasar domestik bahkan internasional, spt negara tetangga dg proton dan vinfast nya.<br>Indonesia bisa buat kereta, pesawat dan kapal, seharusnya buat kendaraan listrik yg diproduksi masal ngga ada masalah.",Netral
PLN segera perbanyak tempat pengisian Batre di Indonesia kususnya di Kota2 Besar dan Jalan Tol di seluruh Indonesia agar masyarakat tdk ragu utk membeli mobil listrik,Netral
"Pasar terbaik motor dan mobil listrik adalah daerah timur, krn BBM di sana sulit di dapat dan sulit di distribusikan serta mahal, PLN harus bergerak cepat membuat stasiun Pengisian Listrik.",Positif
"Saya mengapresiasi untuk perusahaan industri otomotif yg berlomba lomba berfikir untuk penyelamatan iklim bumi dgn cara mengganti  energy motor BBM menjadi motor energy listrik, dan Ter khususkan untuk pemerintah Menurut pendapat saya, alangkah baiknya pemerintah juga harus focus sama hal nya dgn para pengusaha industri otomotif yang mampu menciptakan energy go green atau energy  yg bebas polusi seperti, Penggantian pembangkit listrik tenaga uap (batubara), pembangkit listrik tenaga diesel (BBM)... Dan membuat peraturan untuk pabrik2 yg beroperasi menggunakan BBM dan batubara agar mengajak menggunakan energy terbarukan seperti pemanfaatan tenaga Surya, angin dan gelombang laut... Saat ini pemerintah membantu para pengusaha industri otomotif dgn ikut memfasilitasi kWh meter box yg tersedia untuk charge mobil kan, dan sumber energi nya itu ber asal dari PLN yg rata2 penggunaan pembangkit tenaga nya memakai uap dan diesel.  <br>Dan Saya dgr secara seksama, saya mengapresiasi juga langkah pemerintah untuk mengolah bahan mentah contoh nikel, di olah menjadi bahan baku siap pakai untuk di jual baik itu dalam negeri maupun luar negeri sehingga menaik kan profit keuntungan dan pendapatan untuk negara kita...",Positif
amiin semoga apa yang kita impikan  akan terwujud,Positif
"itulah alasan kenapa putra bangsa tidak bisa melakukan inovasi buat ciptakan teknologi sendiri karena tidak ada masukan buat kantonh para pejabatnya , banhkan mobil listrik aja kalo di buat oleh putra bangsa bisa gagal uji emisi dan bahkan di cekal dengan cara apapun.",Negatif
Kunci dari keberhasilan sebuah negara adalah bersatu mendukung kebaikan untuk rakyat dan negara indonesia.bukanya saling menyalahkan satu sama lain dan bersatu menentang kemunduran rakyat dan negara kita..,Positif
"Makanya listrik sudah Naik lebih dulu... Padahal rakyat hanya ingin sejahtera tapi kok kebijakannya hanya memanjakan taipan2 dan investor asing... Rakyat cuma jadi kuli di tanah sendiri... Kecewa sama kata2 Tanah, air, hasil bumi dan kekayaan alam Indonesia sebesar-besarnya dipergunakan untuk kesejahteraan rakyat... Miris banget<br>Nasionalisme hanya jadi propaganda pembelahan masyarakat dan kesengsaraan rakyat... Harusnya pejabat dan pemerintah jadi benteng bagi rakyat... Infrastruktur cuma jadi pemanfaatan bagi investor asing untuk mempercepat uang mereka kembali dan meraup hasil alam negeri ini... Sedangkan kita kenyataan nya cuma dapat ampasnya yang diputar terus menerus demi menyambung hidup",Negatif
"Batrenya harus murah, kalau mahal ya sama aja...kecuali masyarakat dipaksa dengan menghilangkan pom bensin br pada beli motor/mobil listrik",Netral
Knpa ga bikin mobil listrik produk dalam negri saja.,Netral
Jangan sering2 memberi subsidi..menjadi bom waktu..yg penting export bahan mentah dan kehutanan di stop dan hilirinisasi di perbanyak dapat menambah lapangan kerja dan investasi dalam&luarnegeri di utamakan untuk mendirikan pabrik2 yg hasil produksinya di export yg dapat membuka&menambah lapangan kerja bagi bangsa indonesia..yg menjadikan kesejahteraan rakyat& menjadi negara maju????,Netral
"Yah... semoga bukan cuman ""wacana"" aja, tindakannya itu beneran ada, karena sering dari dulu itu cuman wacana dan akhirnya mandek tanpa adanya kelanjutan, selain kendaraannya ya pos pengisian bahan bakarnya juga dipikirkan, harga mobil yang murah (karena bisa produksi sendiri sih harusnya bisa murah).<br><br><br>Sangat salut sih ama gebrakan pak Jokowi yang berusaha untuk mengelola bahan mentah sendiri, bisa lebih menarik SDM/ketenaga kerjaannya juga, ini langkah bagus karena seharusnya kita (Indonesia) bisa lebih ketimbang MiGas yang jadi andalannya bangsa Arab.",Positif
Pemerintah harus tukar tambah kalo semua pake kendaran listrik,Netral
Kalau semua memakai motor-mobil listrik. Terus yang motor-mobil bbm mau di apain pak?<br>Yang sudah di beli.,Netral
Coba mana batre bikinan asli Indonesia<br>Sy masih tidak percaya <br>Tetep aja orang kita dijajah dinegri <br>Sendiri. <br>Sekarang aja dijajah ekonomi sama keturunan,Negatif
Mampu ngak digunakan di daerah pedalaman kalimantan yg sumberdaya alam berlimpah tapi jalannya seperti lumpur lapindo,Negatif
Gua bangga jadi masyarakat Indonesia... Keruk terus kekayaan alam nya... Dan semoga para pengusaha dan petinggi semakin banyak pemasukan.. Top,Positif
Oke lah saya setuju. Tapi harga Mobil listrik jangan Mahal�. Contoh nya mobil Wuling listrik itu harganya 350jt an. Mending beli Innova reborn dengan harga yg sama lebih gede barangnya,Netral
"Jakarta/kota2 besar yg lainnya,sudah layak gunakan mobil listrik,agar sesuai dg kemajuan zaman,,,semua berbasis mbil listrik,,,mantappp,",Positif
Motor yg sejakarang bisa nggak dirubah menjadi listrik.. tolong dijawab....,Netral
intinya indonesia maju bikin prodak prodak karya sendiri di jual dalam negri saja.,Positif
"Tau kan kenapa mobil listrik karya anak bangsa selalu dan selalu di gagalkan dan gagal uji emisi ????<br>Aneh, ko mobil listrik di uji emisi dan gagal, kan konto*, maksud nya apa gitu.<br>Itu karena para elit mau mendatangkan mobil listrik dari luar negri, kalau kita produksi sendiri, mereka gak dapet cuan, dapet sih cuma sedikit.<br>Klw mobil nya dari luar negri kan dapet cuan nya besar, paham kannnnn....",Negatif
Nantinya subsidi bbm bhan bkar bensin solar pertalite ganti subsidi daya listrik baterai litium mobil motor listrik fasilitas berkendara,Positif
Mantap ramah lingkungan ??,Positif
"Mantap kebijakan Pak Jokowi, semenjak beliau memimpin Indonesia perlahan mulai nampak kemajuannya, pemimpin yg berani menghadapi para pemimpi negara negara besar dunia",Positif
Yg pentih hati2.<br>Negara besar yg ga suka indonesia maju.<br>Akan mnjegal dgn segala cara...<br>    Semoga indonesia kuat mnghsdapi hal2 yg akan mnerpa nantinya.<br>Jaya negriku,Netral
Saya berharap muncul pabrik mobil SMK (ESEMKA) bertenaga listrik. Amin.<br>Stop mobil ESEMKA berbahan bakar fosil (BBM) impor dari China,Positif
Setalah itu gimana nasib motor / mobil masarakat kita yng berbahan bbm  jika di alihan ke mobil/motor listrik,Netral
Indonesia & dunia menuju 0% emisi karbon...,Positif
"Coba pikirkan pergerakan yg dilakukan oleh Presiden yg cerdas, Pak Jokowi langsung tancap gass pembangunan bendungan di berbagai daerah yg memiliki banyak fungsi salah satunya yaitu sebagai pembangkit listrik tenaga air, lalu kemudian bergerak menyetop ekspor Nikel sebagai bahan dasar pembuatan baterai, kemudian bergerak lagi mengalihkan kendaraan berbahan bakar minyak ke kendaraan listrik, dan semoga kedepannya pengeluaran biaya untuk kendaraan bisa ditekan dan kita semua masyarakat bisa lebih sejahtera Aamiin...",Positif
Mantap !!!!!!!!!. Percepat  ......... <br> Tidak lupa  kami rakyat  mengucapkan terimakasi kepada Bp jokowi bersama mentrinya -2. Yg telah  berjuang  dan memajukan.  NEGARA  kita.  <br>Merdeka.,Positif
Pak Dahlan Iskan sudah memprediksi hal ini jauh2 hari. Makanya beliau berani mendanai prototype MobListrik. Tp apa boleh dikata lagi2 kita gagal...ujung2nya kita suka Import dan menjadi bangsa yg kecil kayak gini..Mudah2n ada lg penerus beliau yg berani buat gebrakan sehingga Indonesia dipandang sbg bangsa yg besar. ????,Netral
"@Jan baalsrud bisa aj asal gak ada kongkalikong antara produsen global dan pemerintah dg masyarakat yg perlu dibantu. Dimana evaluasi mobil ciptaan ricky elson, ah malah cbu yg didahulukan, wow pnya mata gak sih tuh pejabat",Negatif
"@Fajar_Engineer klo indonesia bisa meng kolaborasikan semua raw material yg dibutuhkan,yg tambangnya berserakan di seluruh Indonesia,untuk menjadi sebuah produksi",Netral
"Semoga mobil listrik anak bangsa ,bisa bersaing dengan ,mob listrik negara lain",Positif
"SAMPAI KAPAN NEGARA REPUBLIK INDONESIA BISA MANDIRI KALAU SEMUA PRODUSEN LUAR NEGERI DI KASIH IJIN MEMASUKKAN PRODUK2 MEREKA, TANPA MENGASIH KESEMPATAN PRODUK2 DALAM NEGERI UNTUK BERNAFAS???????????????",Positif
Era INDONESIA semangat jadi lebih baaik,Positif
"Seharusnya tidak usah lagi mendatangkan kebdaraan .. jalan raya terlalu penuh kendaraan ,, tidak usah impor kendaraan",Negatif
Karena demi mengurangi ketergantungan pada BBM <br>Tp  tidak melirik <br>Kedepanya Berapa juta MEKANIK  MOTOR  yg harus gulung tikar,Negatif
Kalau Indonesia bikin mobil listrik walaupun kalah jauh canggih sama mobil luar negeri tentu lebih baik beli mobil negeri sendiri,Positif
Yang penting hasil tidak dikorupsi oleh oknum2 yg tidak bertanggung jawab indonesia jaya.Rakyatnya sejahtera.,Positif
Listrik murah...paling dapet 4 tahun kerisis listrik...<br>Buktinya listrik rumah ja mahal tokennya..suru hemat listrik.. eh ini suru pindah mobil listrik.. liat ja nanti kli gk percaya rakyat bakal di cekek oleh listrik,Negatif
"Aku sih gk setuju, <br>Mobil listrik punya resiko kematian besar, <br>1. Kalau kecelakaan, batari rusak, pintu otomatis ter kunci gk bisa di buka, jalan satu satunya pecahin kaca, syukur"" Kalau selamat dan ada alat pemecah kaca di dalam mobil<br>2. Mobil listrik jika terbakar, tidak bisa di padamkan, sampai di tenggelam kan di air juga tetap terbakar, bisa di cek alasan kenapa kebakaran mobil listrik tidak bisa di padamkan<br>3. Mobil listrik tanpa sebab yg jelas bisa terbakar sendiri, manufacturing di Amerika menghimbau agar tidak menyimpan mobil listrik di garasi, jika kebakaran tidak ikut rumah kebakaran, <br><br>3 point di atas sudah terjadi di US, KOREA, Japan, bisa di cek fakta nya,<br><br>Point tambahan, batrai punya masa pakai nya, jika habis masa pakai nya, harga ganti batrai hampir bisa beli mobil baru, sekitar 70-80% <br><br>Jadilah cerdas kawan sebangsa setanah airku",Negatif
"seharusny indonesia punya mobil listrik nasional, mumpung blm di infasi sama produk luar. klo sy ada uang sy pasti beli. kita kalah di bidang otomotif bahan bakar minyak. sekarang saat nya ambil bagian di otomotif energi listrik.",Positif
"Perjuangan hilirisasi dan mendatangkan investor masih banyak banyak permasalahan yg harus diselesasaikan, belum lagi tantangan nyinyirisasi dari dalam negeri sendiri.",Netral
"Andaikan mobil dinas semua jajaran pejabat di ganti mobil listrik,bayangkan berapa angaran yg akan di hemat negara",Netral
Mungkin btuh waktu agag lama cari yg murah dan sporty untuk yg listrik,Netral
"Kendaraan listrik nya di buat, di pasarkan, dan jangan lupa pom listriknya di bangun juga....",Positif
"Jika ekosistem kendaraan listrik sdh terbentuk, alangkah baiknya juga di kembangkan stasiun pengecasan berbasis solar cell",Positif
"Sebel klo menyangkut listrik,, tiap-tiap hari selalu mati lampu,, gimana mau ngecas,, listrik sama minyak harus seimbang lah,, jangan apa2 listrik,, mbayar listrik sekarang serba mahal",Negatif
Miris banget padahal pembangkit listrik di Indonesia masih menggunakan batu bara dan justru rencana ini menyebabkan polusi udara yang lebih parah.,Negatif
Mantab... Atas kebijakan Pak Jokowi... Tapi ingat pak... Jika pabrik dah bnyak dibuka... Utamakan pekerjanya adlh Rakyat Indonesia sendiri...,Positif
Tolong di seleksi negara2 penghasil mbl listrik yg akan bekerja sama dgn NKRI jgn sampai diberi peluang negara2 yg selalu mengancam negara kita,Netral
Mantap bakal banyak spbu yg tutup,Positif
"ganti dulu listriknya jangan pake batu bara percuma klo listrik masih pake batu bara, kita pindah ke mobil listrik terus ngecas tuh mobil pake listrik dan listriknya pake batu bara kan kocak??????",Negatif
pasti bisa  kita punya matahari sepajang tahun kita punya sungai dan lahan pesisir untuk angin semua nya bisa di ubah jadi energi,Positif
Semoga Sepeda Motor dan mobil listrik Indonesia ramah di KANTONG rakyat Indonesia.,Positif
"Kalau mau program motor listrik berhasil hendak nya di mulai dengan berlimpah nya pusat pengisian motor listrik beserta sparepart nya di pasaran , belajar dari motor china donk , dulu tahun 2000 an banyak sekali di jumpai motor motor china yang harganya sangat murah , namun nggak lama juga ngilang karena jumblah penyebaran motor nya nggak sebanding dengan jumblah sparepart nya yang di sediakan di pasaran , sebelum menjual motor listrik hendak nya sparepart motor listrik harus tersebar di pasaran agar masyarakat mau berubah dari bbm ke listrik dengan alasan , sparepart nya mudah di dapat dan mudah perawatan nya",Positif
Luar biasa indonesia bisa jadi game changer dunia. Semoga semua rencana baik buat indonesia bisa dieksekusi dengan baik. amin.,Positif
Masuk semua. Tpi gk satupun prudak lokal mobil listrik  maju. Hrusnya pmerintah ini memberi kan kemudahan bagi produk lokal,Netral
Semoga murah meriah harga motor listrik nya ammiinnn ya Robbal aa&#39;lamiiiinnnn,Netral
"Hayoooo Indonesia kita beli aja, ga usah buat kendaraan listrik nasional. Beli tinggal bayar pake...wkwkwkwk",Netral
Yang penting harganya terjangkau...,Netral
"Listrik dari batubara/nikel<br>Sama ajah cuman beda polusi,<br>bukanya pengguna dibatesin/pajak naekinlagi trus investasi angkutan umum diperbanyak.<br>Mainset harus rubah org lulus,bukan ambil kendaraan tapi lebih ke property ??",Netral
"kemana nih para ahli energy indonesia??! . . . mungkin mereka belum menunjukkan kekuatannya<br>semua kegiatan yang menghasilkan karbon akan diganti oleh listrik, . . . dan batere, jadi akan ditingkatkan bahan pembangkit energy listriknya yaitu BATUBARA, . . karena batere itu bukan ENERGY tapi tempat MENYIMPAN ENERGY, untuk persiapan batubara akan ditingkatkan sampai 518j ton dan mungkin akan meningkat lagi<br>apakah kemampuan teknologi energy cuma itu ya, . . . bagaimana dengan EBT, . . . ditinggalkan saja?? . . . kita akan lebih fokus ke BATERE (yang tempat nyimpen energy)? . . . yang merusak alam 2 kali? . . .pertama saat menambang, kedua saat batere tidak bisa lagi dipergunakan.<br>EBT dipikirkan nggak . . . .<br><br>TEKNOLOGI ITU BANYAK PILIHAN . . .",Negatif
"Hebat kan,, tapi sayang tentang ketenagakerja walau pabriknya di indo tp tetap milik asing yg kerja juga orang asing,, Indonesia terutama masyarakat biasa dapat apa,, sudah alam hancur.. lihat saja 2.3 Thun lagi, alam akan seperti apa, seperti kejadian kemarin di Morowali dr pekerja buruh apalagi atasan semua dr China.. undang undang nya juga harus berubah..",Positif
"Pemerintah jorjoran memproduksi mobil dan motor listrik, tapi infrastrukturnya tidak disiapkan, seperti pembangunan pembangkit tenaga Listrik... Siap siap saja  Indonesia sering gelap gulita, tanpa mobil listrik saja PLN masih  pet byar pet byar, pemadaman bergilir.. Apalagi ditambah beban daya mobil listrik... Mikiiiiir",Negatif
Bagaimana klo semua kendaraan bebasis listrik..padahal listrik di indonesia listriknya satu hari kadang mati 1-3 kali sehari..kok bisa2 nya berbicara soal kendaraan listrik..<br>Di daerah jawa saja listriknya tiap2 hari padam..,Netral
"Siapa produsen mobil yang lambat buat mobil atau motor listrik, mereka akan seprti hal hp nokia, akan tergerus dan mati oleh jaman",Netral
"Mobil listrik kalo gak pabrikan Honda, Toyota, Mitsubishi.....,paling gak begitu menarik konsumen",Netral
Motor /mobil Yg tak laku diluar Negeri Dijual Ke Indonesia ??,Positif
"Yang penting, tarif listrik tidak naik.",Netral
Ngecas batere listrik perlu mesin disel bbm solar utk menghasil energi listrik...spt mesin pln skrg berbahan bakar batu bara..gas..myk solar.,Netral
"Semoga apa yg tengah di tempuh Pak Presiden kita dan jajarannya demi kemajuan bangsa dan negara Indonesia berjalan dengan lancar dan berhasil dengan gemilang...hanya saja yang menjadi kegalauan rakyat saat ini, apakah nanti bila Pak Jokowi tak lagi menjabat presiden RI program yg sudah di rintisnya akan terus berlanjut atau malah melempem...??? Rakyat Indonesia tentu berharap semua langkah menuju kemajuan Indonesia terus berlanjut walaupun pemimpin negara berganti...semoga harapan rakyat Indonesia terwujud... Aamiin",Positif
"Hati hati politik global, kita sedang meluncurkan bahan bakar dari CPO sawit, tapi kenapa kita import Mobil electronic listrik, ini bisa jadi bumerang bagi produsen CPO dlm negeri. Trimakasih ??",Negatif
"Nanti kalau sudah ramai, listrik sudah susah pula, sudah ada contoh pindah dari minyak tanah ke gas  sekarang gas harga nya mahal ,& terus naik , jadi rakyat juga yg susah..",Negatif
Smg lbh byk manfaatnya buat seluruh rkyt dn tercapainya keadilan sosial bagi seluruh rkyt Indonesia meraih kemajuan kemakmuran utk semua bgs Indonesia.,Netral
"Mobil listrik buatan anak negeri yang telah lama ada dibiaarkan, malah mobil listrik buatan luar, cok jancok dimana, katanya saya pancasila tapi buatan anak negri tidak diakui kan goblok sampai akar akarnya",Negatif
"Alhamdulillah, semoga Indonesia semakin maju",Positif
"Saya suka bahkan sangat support sekali tp kalo boleh saran saja,, fasilitas jalan dan jembatan perlu benahi,,kami dikalimantan (Kalteng) masih byk jalan yg belum beraspal bahkan akses menuju desa pun masih sulit, makanya kami lebih memilih motor berbahan BBM karena mudah diprediksi pemakaian bahan bakar,,listrik dikampung pun masih susah bah kan tdk ada",Netral
"Alhamdulillah semoga Indonesia makin maju rakyat makin sejahtera ,  semoga pak Jokowi dan pak Luhut selalu di beri kesehatan oleh Alloh SWT. Aamiin ??????",Positif
Saya sangat mendukung dengan ambisi mobil listrik ini. Tapi saya memohon agar secepatnya pemerintah membangun pembangkit listrik yang terbarukan. Mengingat pembangkit listrik negara kita mayoritasnya masih bergantungan dengan batubara. Jadi sama saja bohong jika kita sudah banyak memakai mobil listrik tapi pembangkit kita masih belum terbarukan. Tapi saya percaya pemerintah kita cerdas!??,Positif
"Didaerah masih sering mati lampu,apa ya",Negatif
"PLN aja masih pake bahan bakar yg bikin polusi, coba kembangkan juga pembangkit tenaga listrik seperti kincir air, kincir angin",Negatif
Ngibul terus aa<br>Beri bukti nyata dulu ada baranngnya...apa kabar b100 yang dulu di gembor2 dulu,Negatif
"semoga terlaksana, semoga lancar bapak soalnya yg sy dambakan dr dulu dgn kekayaan alam kita",Positif
Nanti semua udah pake mobil listrik..harga listrik pasti di naikan berkali lipat...waspada,Negatif
Masya Allah pak jokowi luar biasa. Hilirisasi membawa dampak ke pembangunan pabrik mobil listrik dunia,Positif
Ini mau jual mobil dari luar ke indonesia ...<br><br>Yg gak punya duit menurut mereka ini gak penting,Negatif
